"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"P40","HDR1X1-BIG2","3287.402mil","1401.575mil","3287.402mil","1401.575mil","3287.402mil","1401.575mil","T","0.00","11"
"P42","HDR1X1-BIG2","3570.866mil","1401.575mil","3570.866mil","1401.575mil","3570.866mil","1401.575mil","T","0.00","13"
"P44","HDR1X1-BIG2","3854.331mil","1401.575mil","3854.331mil","1401.575mil","3854.331mil","1401.575mil","T","0.00","15"
"P13","HDR1X1-BIG2","1870.079mil","1102.362mil","1870.079mil","1102.362mil","1870.079mil","1102.362mil","T","0.00","31"
"P14","HDR1X1-BIG2","2011.811mil","1102.362mil","2011.811mil","1102.362mil","2011.811mil","1102.362mil","T","0.00","32"
"P31","HDR1X1-BIG2","2011.811mil","1401.575mil","2011.811mil","1401.575mil","2011.811mil","1401.575mil","T","0.00","2"
"P46","HDR1X1-BIG2","2011.811mil","1251.968mil","2011.811mil","1251.968mil","2011.811mil","1251.968mil","T","0.00","17"
"P23","HDR1X1-BIG2","3019.685mil","4824.804mil","3019.685mil","4824.804mil","3019.685mil","4824.804mil","T","0.00","+"
"P30","HDR1X1-BIG2","1870.079mil","1401.575mil","1870.079mil","1401.575mil","1870.079mil","1401.575mil","T","0.00","1"
"P45","HDR1X1-BIG2","1870.079mil","1251.968mil","1870.079mil","1251.968mil","1870.079mil","1251.968mil","T","0.00","16"
"P21","HDR1X1-BIG2","3145.669mil","1102.362mil","3145.669mil","1102.362mil","3145.669mil","1102.362mil","T","0.00","40"
"P7","HDR1X1-BIG2","3145.669mil","1251.968mil","3145.669mil","1251.968mil","3145.669mil","1251.968mil","T","0.00","25"
"P35","HDR1X1-BIG2","2578.74mil","1401.575mil","2578.74mil","1401.575mil","2578.74mil","1401.575mil","T","0.00","6"
"P34","HDR1X1-BIG2","2437.008mil","1401.575mil","2437.008mil","1401.575mil","2437.008mil","1401.575mil","T","0.00","5"
"P33","HDR1X1-BIG2","2295.276mil","1401.575mil","2295.276mil","1401.575mil","2295.276mil","1401.575mil","T","0.00","4"
"P25","HDR1X1-BIG2","4173.228mil","1208.661mil","4173.228mil","1208.661mil","4173.228mil","1208.661mil","T","0.00","1"
